company,year,metric,value,unit,source_pdf,source_page,source_table,extraction_method,sha256,extracted_date,confidence,notes
ArcelorMittal,2020,emissions_scope12_mt_co2,58.0,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2020.pdf,28,,regex_text,07f8a54c4eec724cdd2f1a4e4d10e410c47e160cbbf9c22eb5ee586bfc4bcef9,2026-02-12,high,"AM CO2 footprint table, value 1/1 from series: [58.0]"
ArcelorMittal,2018,emissions_scope12_mt_co2,151.4,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2022.pdf,29,,regex_text,f42f764cb88f6bf06ee6f80f810c28f4932492e370d7f309aa0fbc0ae0672618,2026-02-12,medium,"AM CO2 footprint table, value 1/5 from series: [151.4, 144.3, 122.9, 139.3, 117.8]"
ArcelorMittal,2019,emissions_scope12_mt_co2,144.3,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2022.pdf,29,,regex_text,f42f764cb88f6bf06ee6f80f810c28f4932492e370d7f309aa0fbc0ae0672618,2026-02-12,medium,"AM CO2 footprint table, value 2/5 from series: [151.4, 144.3, 122.9, 139.3, 117.8]"
ArcelorMittal,2020,emissions_scope12_mt_co2,122.9,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2022.pdf,29,,regex_text,f42f764cb88f6bf06ee6f80f810c28f4932492e370d7f309aa0fbc0ae0672618,2026-02-12,medium,"AM CO2 footprint table, value 3/5 from series: [151.4, 144.3, 122.9, 139.3, 117.8]"
ArcelorMittal,2021,emissions_scope12_mt_co2,139.3,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2022.pdf,29,,regex_text,f42f764cb88f6bf06ee6f80f810c28f4932492e370d7f309aa0fbc0ae0672618,2026-02-12,medium,"AM CO2 footprint table, value 4/5 from series: [151.4, 144.3, 122.9, 139.3, 117.8]"
ArcelorMittal,2022,emissions_scope12_mt_co2,117.8,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2022.pdf,29,,regex_text,f42f764cb88f6bf06ee6f80f810c28f4932492e370d7f309aa0fbc0ae0672618,2026-02-12,high,"AM CO2 footprint table, value 5/5 from series: [151.4, 144.3, 122.9, 139.3, 117.8]"
ArcelorMittal,2018,emissions_scope12_mt_co2,158.8,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2023.pdf,33,,regex_text,94bacfb7237731f3f695dee50f685268263494bd4357c3eb64119beca8eae67a,2026-02-12,medium,"AM CO2 footprint table, value 1/6 from series: [158.8, 151.8, 130.5, 148.1, 125.7, 114.3]"
ArcelorMittal,2019,emissions_scope12_mt_co2,151.8,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2023.pdf,33,,regex_text,94bacfb7237731f3f695dee50f685268263494bd4357c3eb64119beca8eae67a,2026-02-12,medium,"AM CO2 footprint table, value 2/6 from series: [158.8, 151.8, 130.5, 148.1, 125.7, 114.3]"
ArcelorMittal,2020,emissions_scope12_mt_co2,130.5,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2023.pdf,33,,regex_text,94bacfb7237731f3f695dee50f685268263494bd4357c3eb64119beca8eae67a,2026-02-12,medium,"AM CO2 footprint table, value 3/6 from series: [158.8, 151.8, 130.5, 148.1, 125.7, 114.3]"
ArcelorMittal,2021,emissions_scope12_mt_co2,148.1,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2023.pdf,33,,regex_text,94bacfb7237731f3f695dee50f685268263494bd4357c3eb64119beca8eae67a,2026-02-12,medium,"AM CO2 footprint table, value 4/6 from series: [158.8, 151.8, 130.5, 148.1, 125.7, 114.3]"
ArcelorMittal,2022,emissions_scope12_mt_co2,125.7,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2023.pdf,33,,regex_text,94bacfb7237731f3f695dee50f685268263494bd4357c3eb64119beca8eae67a,2026-02-12,medium,"AM CO2 footprint table, value 5/6 from series: [158.8, 151.8, 130.5, 148.1, 125.7, 114.3]"
ArcelorMittal,2023,emissions_scope12_mt_co2,114.3,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2023.pdf,33,,regex_text,94bacfb7237731f3f695dee50f685268263494bd4357c3eb64119beca8eae67a,2026-02-12,high,"AM CO2 footprint table, value 6/6 from series: [158.8, 151.8, 130.5, 148.1, 125.7, 114.3]"
Tata Steel,2023,emissions_scope12_mt_co2,55.2,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/tata_steel/tata-steel-ir-2022-23.pdf,62,,regex_text,c9ccaf37873ce4fbf8a1034288d4d5ba9c976f3f6656d45bcfb4165e4904bd27,2026-02-12,high,"Tata consolidated Scope 1=49.6, Scope 2=5.6"
Tata Steel,2024,emissions_scope12_mt_co2,84.0,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/tata_steel/tata-steel-limited-ir-2024.pdf,65,,regex_text,128706186e05b5fe07e6e9184252e423340634e22fbc2edb5e9423db4cffd232,2026-02-12,high,"Tata consolidated Scope 1=77.0, Scope 2=7.0"
Tata Steel,2025,emissions_scope12_mt_co2,62.62,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/tata_steel/fy25-integratedreport.pdf,56,,regex_text,40fe520d35a1b277e3d20eaf1c10ecc5115425f3f678145efcc7c62c28a93dfa,2026-02-12,high,"Tata consolidated Scope 1=61.0, Scope 2=1.62"
JSW Steel,2024,emissions_scope12_mt_co2,53.16764,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/jsw_steel/Integrated-Annual-Report-FY-2023-24.pdf,46,1.0,table_pdfplumber,ffd91abab6dda79114d64748ea9b83cb322b5bb167b5ff6a0576ea5eee7efa79,2026-02-12,high,"JSW CO2 Scope 1+2, raw: 53167.64 000 tCO2"
POSCO Holdings,2021,emissions_scope12_mt_co2,77.391479,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/posco/POSCO_Sustainability_Report_2021_eng.pdf,99,,regex_text,5207a90a5b83ac88582aec27ae4c140acab53c2b214292dc087db0a04a07dcf1,2026-02-12,high,"POSCO Scope 1&2: 77,391,479 tCO2e = 77.4 Mt"
POSCO Holdings,2022,emissions_scope12_mt_co2,75.069656,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/posco/POSCO_Sustainability_Report_2022_eng.pdf,104,,regex_text,13f7bd8ac78fb328aaae5d38538ef9a6937d3c385f14db505ad23d3454d3fa2d,2026-02-12,high,"POSCO Scope 1&2: 75,069,656 tCO2e = 75.1 Mt"
POSCO Holdings,2023,emissions_scope12_mt_co2,78.490212,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/posco/POSCO_Sustainability_Report_2023_eng.pdf,125,,regex_text,ea0ab15d0e821e368183d6c8e06faf05b07f8116ba1d678160c6c083d6a59951,2026-02-12,high,"POSCO Scope 1&2: 78,490,212 tCO2e = 78.5 Mt"
SSAB,2015,emissions_scope12_mt_co2,9.606,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/ssab/ssab_2015.pdf,5,,regex_text,2cdb25962404f5f4a22a75bfdb5476419b2a8c80bfd7218e0aa4659fc7aeef40,2026-02-12,high,"SSAB CO2 emissions: 9,606 thousand tonnes = 9.6 Mt (Scope 1)"
SSAB,2017,emissions_scope12_mt_co2,9.828,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/ssab/ssab_2017.pdf,5,,regex_text,890c380a673f089b77ccc14e9136856eacc821fe4b7a34a08431bbfd991804e5,2026-02-12,high,"SSAB CO2 emissions: 9,828 thousand tonnes = 9.8 Mt (Scope 1)"
SSAB,2018,emissions_scope12_mt_co2,9.833,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/ssab/ssab_2018.pdf,5,,regex_text,3003647328dccd234154844183e57787b95661ed92fa2c10abaf338e404fabdc,2026-02-12,high,"SSAB CO2 emissions: 9,833 thousand tonnes = 9.8 Mt (Scope 1)"
SSAB,2019,emissions_scope12_mt_co2,9.582,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/ssab/ssab_2019.pdf,12,,regex_text,b8a206cdc91be4440b8ba91c0369ccde1876ca06fcead6d825da615f63729364,2026-02-12,high,"SSAB CO2 emissions: 9,582 thousand tonnes = 9.6 Mt (Scope 1)"
SSAB,2020,emissions_scope12_mt_co2,8.844,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/ssab/ssab_2020.pdf,13,,regex_text,8433aa5d4f65667258e433321106261592fb9fbba142158b1d88062fd30c4ddd,2026-02-12,high,"SSAB CO2 emissions: 8,844 thousand tonnes = 8.8 Mt (Scope 1)"
SSAB,2021,emissions_scope12_mt_co2,10.605,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/ssab/ssab_2021.pdf,11,,regex_text,bae959a14cb7716d8b1c813ad21f1400ed04ec6e86a8b48542471cc0da56c6ea,2026-02-12,high,"SSAB CO2 emissions: 10,605 thousand tonnes = 10.6 Mt (Scope 1)"
SSAB,2022,emissions_scope12_mt_co2,9.827,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/ssab/annual_report_2022.pdf,10,,regex_text,6036b6625edd2b8ab1bfa0ef9d92ec1c6ae5c85ee9ca60e948e10d0dd1c78fc9,2026-02-12,high,"SSAB CO2 emissions: 9,827 thousand tonnes = 9.8 Mt (Scope 1)"
SSAB,2023,emissions_scope12_mt_co2,9.915,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/ssab/ssab-annual-report-2023.pdf,10,,regex_text,514b029fb356c8074f6638b7a2b672323ba1320e4127b043ba1c3c3bdb7caf7e,2026-02-12,high,"SSAB CO2 emissions: 9,915 thousand tonnes = 9.9 Mt (Scope 1)"
SSAB,2024,emissions_scope12_mt_co2,9.483,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/ssab/ssab_annual_report_2024.pdf,11,,regex_text,5542239e30fb6ba884333374b415a2765b1f053173a8fd41e262167fd673787b,2026-02-12,medium,"SSAB Scope 1: 9,483 thousand tonnes"
ThyssenKrupp,2024,emissions_scope12_mt_co2,23.2,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/thyssenkrupp/Annual-report_2023-2024.pdf,88,,regex_text,35166c31a14fcc37ed942b31146ec483beafa2c33ef4b78028fa3a4d344fbf79,2026-02-12,high,ThyssenKrupp Scope 1+2: 23.2 million tons CO2e (company-wide)
Gerdau,2019,emissions_scope12_mt_co2,85.0,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/gerdau/Gerdau%20Integrated%20Report%202019_0.pdf,112,12.0,table_pdfplumber,46ceb486e60ff08004e451643d87d90a371c6ab1580c17a09d540d665da3d00c,2026-02-12,medium,Generic table: gri 305: emissions 2016 305-1 direct (scope 1) ghg emissions 85
Gerdau,2021,emissions_scope12_mt_co2,2.021,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/gerdau/Gerdau%20Annual%20Report%20-%202021.pdf,122,0.0,table_pdfplumber,e8ab2383f0df66b5b71ddcabc368241e1fe537ccb7a8e0cf0564c79bf7e26a7e,2026-02-12,medium,"Generic table (kt): gri 305-1 and sasb em-is-110a.1
gross direct (scope 1) ghg emissions in metric t"
Gerdau,2023,emissions_scope12_mt_co2,2.02,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/gerdau/gerdau-annual-report-en-2023.pdf,125,0.0,table_pdfplumber,403c7bc289e49e17b36a8a3530890fc6d33ac545c3517a113c739503236d40d3,2026-02-12,medium,"Generic table (kt): gross direct (scope 1) ghg emissions
in metric tons of co equivalent
2 2020 2021"
Salzgitter,2022,emissions_scope12_mt_co2,8.0,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/salzgitter/szag-ar2022-complete.pdf,98,,regex_text,cd1689f1398028a64c4b35173961f5ef7c4a2ce351b208a42e4c1336ac133e44,2026-02-12,low,"Generic enhanced: GHG emissions in Scope 1 to Scope 3, we have therefore also pursued around 95% o"
Salzgitter,2023,emissions_scope12_mt_co2,8.002,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/salzgitter/szag-ar2023-complete.pdf,111,1.0,table_pdfplumber,24922e240cb709b63147f1fb536486ad6d985fcfa6bc39e00fb3b9e74c5cf73c,2026-02-12,medium,"Generic table (kt): scope  – direct ghg emissions kt co2 , 8,002 8,196"
Salzgitter,2024,emissions_scope12_mt_co2,10.724,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/salzgitter/szag-ar2024-complete.pdf,159,6.0,table_pdfplumber,d6ae0dc58156c836526c0320adbc3e6afef20e351fc012dc09e1d0d092bf8d62,2026-02-12,medium,"Generic table (kt): gross scope 1 ghg emissions (tt coeq)
2 10,724 0,35 6,900"
Kobe Steel,2019,emissions_scope12_mt_co2,2.274,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/kobe_steel/integrated-reports2019-en.pdf,52,1.0,table_pdfplumber,54048ad4d5f68a52f14f257e4633021350f1d7e7b6282c5552e9c5cb5537fb01,2026-02-12,medium,"Generic table (kt): ironmaking
plant field midrex® process 2,274 direct reduction ironmaking process"
Kobe Steel,2024,emissions_scope12_mt_co2,4.464,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/kobe_steel/integrated-reports2024_e.pdf,40,1.0,table_pdfplumber,d88088c8c5996216d9e208ba297e6b551694fc3da4ef0905603a9f0ff0e50e4b,2026-02-12,medium,"Generic table (kt): ironmaking plant midrex® process 4,464 dri making process with low co2 emissions"
SAIL,2022,emissions_scope12_mt_co2,45.31,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/sail/Sail-Annual-Report_2021-22-%281%29_3.pdf,190,1.0,table_pdfplumber,5565e425e94ace519c212219e40f9782eb7665ecc7f2c7d19d75f6d5c26edb5c,2026-02-12,medium,"Generic table: total scope 1 emissions (break-up of the ghg into co, ch, no,
2 4 2
hfcs, pfcs, "
SAIL,2023,emissions_scope12_mt_co2,47.603938,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/sail/SAIL_Annual-Report-2022-2023.pdf,194,1.0,table_pdfplumber,ae371b11f860d443c4a523d1cb8b95a5d29012e639a35313de215451febc99c5,2026-02-12,medium,"Generic table (tCO2e): total scope 1 emissions (break-up of the ghg into co, ch, no,
2 4 2
hfcs, pfcs, "
SAIL,2024,emissions_scope12_mt_co2,52.622079,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/sail/SAIL_Annual_Report2023-24.pdf,211,1.0,table_pdfplumber,b9476ef399f2069048116283e3903db2b442f405bedf3ec59c9756b7048977ae,2026-02-12,medium,"Generic table (tCO2e): total scope 1 emissions (break-up of the ghg into co, ch4, n2o,
2
hfcs, pfcs, sf"
China Steel,2020,emissions_scope12_mt_co2,2.02012,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/china_steel/year_report109.pdf,194,10.0,table_pdfplumber,57b63f9a5d682c41aa7664caa7dde5eb4cc6b47d3b60b1da7211c6cc98d7ddff,2026-02-12,medium,"Generic table (kt): development of
low-carbon
green process
steelmaking
technology 1. develop basic "
NLMK,2020,emissions_scope12_mt_co2,2.0,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/nlmk/LSE_NLMK_2020.pdf,83,2.0,table_pdfplumber,985b85495c373ee5332b4cb35dcf8bbc9da8d6d860f06d3e1c87fba747e04f7e,2026-02-12,medium,"Generic table: specific со emissions,
2
stationary sources
(scope 1+2) t/t of steel 2.00 2.10 ("
NLMK,2021,emissions_scope12_mt_co2,33.579,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/nlmk/LSE_NLMK_2021.pdf,25,0.0,table_pdfplumber,c164c46397c485dd8d222ce02d37c0ebff96389ad4cf8ba4101d6d402eda5cec,2026-02-12,medium,"Generic table (kt): total (scope 1 + scope 2), location-based method 33,579 34,064 31,147 32,494 33,"
Hyundai Steel,2017,emissions_scope12_mt_co2,18.797,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/hyundai_steel/hyundai_steel_sustainability_report_2017.pdf,32,1.0,table_pdfplumber,df1b0434d6ec32166d6c919c9fc24acbf2da369a6f0a4b2f6009bbe5117fc826,2026-02-12,medium,"Generic table (kt): ghg emissions total 18,797 19,573"
Hyundai Steel,2023,emissions_scope12_mt_co2,30.692,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/hyundai_steel/hyundai_steel_sustainability_report_2023.pdf,107,1.0,table_pdfplumber,372e0baeddda88b7000993eaa0ca42accd4ac7f90c260374a6e5a0f56f6fd92d,2026-02-12,medium,"Generic table (kt): ghg emissions 1,000 toncoe
2 n/a 30,692 29,266 29,268"
Hyundai Steel,2024,emissions_scope12_mt_co2,2.023,Mt CO2,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/hyundai_steel/hyundai_steel_sustainability_report_2024.pdf,148,0.0,table_pdfplumber,a715697864dd6c1c78c3e94b0fffe0e4a35ed5b86e2e014c2813bd0005f6b937,2026-02-12,medium,Generic table (kt): scope of ghg emissions 2023
